id,year,make,model,trim1,trim2,area,train,size,color,simplified_color,stratifeature
babdb6eb7903,2013,Smart,fortwo,fortwo,passion,5586617,FALSE,very very small,Red,Red,very very small-Non-white
bd65341af908,2012,Scion,iQ,iQ,Base,5501734,FALSE,very very small,White,White,very very small-White
c3c39d226187,2013,Smart,fortwo,fortwo,passion,4852048,FALSE,very very small,Black,Black,very very small-Non-white
ce956ba38251,2014,Smart,fortwo,fortwo,pure,5010991,FALSE,very very small,Black,Black,very very small-Non-white
d3820200f39e,2012,Mercedes-Benz,SLK-Class,SLK-Class,SLK350,5156918,FALSE,very very small,Black,Black,very very small-Non-white
d51a8d166b21,2015,Smart,fortwo,fortwo,passion,5481159,FALSE,very very small,White,White,very very small-White
d8531ba0155c,2014,Smart,fortwo,fortwo,passion,5049065,FALSE,very very small,White,White,very very small-White
d9b41ce2c9d0,2015,FIAT,500,500,Sport,5541249,FALSE,very very small,Red,Red,very very small-Non-white
db164ef1b1fa,2015,Smart,fortwo,fortwo,pure,5059364,FALSE,very very small,Black,Black,very very small-Non-white
db705d508b33,2012,Scion,iQ,iQ,Base,5468357,FALSE,very very small,Red,Red,very very small-Non-white
dd8ce1c692a7,2012,Scion,iQ,iQ,Base,5513519,FALSE,very very small,Black,Black,very very small-Non-white
e59284473972,2013,Smart,fortwo,fortwo,pure,5089596,FALSE,very very small,White,White,very very small-White
e6cc6bbca9de,2015,Smart,fortwo,fortwo,pure,5075551,FALSE,very very small,Black,Black,very very small-Non-white
e8cb08532654,2013,Smart,fortwo,fortwo,passion,5001624,FALSE,very very small,Black,Black,very very small-Non-white
eac55ce0e0da,2016,Smart,fortwo,fortwo,passion,4995018,FALSE,very very small,White,White,very very small-White
eb07e3f63ad2,2012,Mercedes-Benz,SLK-Class,SLK-Class,SLK350,5213157,TRUE,very very small,Red,Red,very very small-Non-white
f1ea1c6780f6,2012,FIAT,500,500,Pop,5575461,FALSE,very very small,Gray,Gray,very very small-Non-white
f367ed81b605,2013,Ford,Fiesta,Fiesta,SE,5636125,FALSE,very very small,White,White,very very small-White
f5ecee137dcc,2012,MINI,Cooper Coupe,Cooper Coupe,S,5425747,FALSE,very very small,Black,Black,very very small-Non-white
f8b6f4c39204,2014,MINI,Roadster,Roadster,Cooper S,5616186,TRUE,very very small,Black,Black,very very small-Non-white
fdca9d5d5b34,2015,Smart,fortwo,fortwo,passion,5050817,FALSE,very very small,White,White,very very small-White
fe2390ea2d70,2013,Scion,iQ,iQ,Base,5325210,FALSE,very very small,Red,Red,very very small-Non-white
ff0261312c54,2014,Smart,fortwo,fortwo,pure,4778427,FALSE,very very small,Black,Black,very very small-Non-white
ff370b0027d5,2013,Smart,fortwo,fortwo,passion,4804274,FALSE,very very small,White,White,very very small-White
0ce36c1e1d16,2014,Chevrolet,Silverado 2500HD,Silverado 2500HD,LT,13946333,FALSE,very very large,Gray,Gray,very very large-Non-white
0ed6904e1004,2012,Ford,F-250 Super Duty,F-250 Super Duty,Lariat,13072052,TRUE,very very large,Black,Black,very very large-Non-white
1d66d1d68e90,2015,Toyota,Tundra,Tundra,Limited,13710271,FALSE,very very large,Black,Black,very very large-Non-white
1ee65a0b1542,2015,Toyota,Tundra,Tundra,1794,13809806,FALSE,very very large,Red,Red,very very large-Non-white
2157fca5c0c0,2013,Ford,F-150,F-150,FX2,13130800,FALSE,very very large,White,White,very very large-White
26de79af67de,2016,Ram,Pickup 1500,Pickup 1500,SLT,13070274,FALSE,very very large,White,White,very very large-White
2b5115b6a24f,2014,Ford,Expedition EL,Expedition EL,XLT,13029630,FALSE,very very large,Black,Black,very very large-Non-white
33646a6c0d6a,2013,Cadillac,Escalade ESV,Escalade ESV,Premium,13947348,FALSE,very very large,Gray,Gray,very very large-Non-white
395590ed7e24,2015,Ford,F-150,F-150,Lariat,13735833,FALSE,very very large,Black,Black,very very large-Non-white
3cb87b39dbdf,2014,Toyota,Tundra,Tundra,Limited,13392730,FALSE,very very large,White,White,very very large-White
4029b44b356d,2016,Mercedes-Benz,Metris,Metris,Passenger,13204213,FALSE,very very large,White,White,very very large-White
47b95a803509,2015,Ford,F-150,F-150,XL w/ Towing Pkg,13548986,FALSE,very very large,Black,Black,very very large-Non-white
495063f433f3,2014,Toyota,Tundra,Tundra,SR5,13629963,FALSE,very very large,Black,Black,very very large-Non-white
4c5149f976af,2013,GMC,Yukon XL,Yukon XL,Denali,13977043,FALSE,very very large,Black,Black,very very large-Non-white
51ee97120b1a,2012,Ford,F-150,F-150,XLT,13070800,FALSE,very very large,White,White,very very large-White
55365f9ea252,2015,Ford,Expedition EL,Expedition EL,XLT,14124606,FALSE,very very large,Black,Black,very very large-Non-white
61060ada97c9,2015,Chevrolet,Suburban,Suburban,LT 1500,14255739,TRUE,very very large,Black,Black,very very large-Non-white
63936e765deb,2016,Ford,Expedition,Expedition,Limited,12929467,FALSE,very very large,Black,Black,very very large-Non-white
656b8b962890,2015,Ford,F-150,F-150,XLT,13343214,FALSE,very very large,Black,Black,very very large-Non-white
69c1c004890e,2016,Chevrolet,Silverado 1500,Silverado 1500,LT,13040172,FALSE,very very large,Gray,Gray,very very large-Non-white
69edbb7a4bb4,2015,Ford,F-150,F-150,XLT,13360752,FALSE,very very large,Gray,Gray,very very large-Non-white
6b5b7960091c,2012,Chevrolet,Avalanche,Avalanche,LT,13388004,FALSE,very very large,Black,Black,very very large-Non-white
7c1b07a45748,2014,Ford,Expedition EL,Expedition EL,XLT,14095994,FALSE,very very large,Black,Black,very very large-Non-white
8303aaa24c55,2016,Ford,F-150,F-150,XLT,13251972,FALSE,very very large,White,White,very very large-White
858841907a4a,2013,Cadillac,Escalade ESV,Escalade ESV,Luxury,14045285,TRUE,very very large,Black,Black,very very large-Non-white
8742373e02a1,2013,Chevrolet,Suburban,Suburban,LTZ 1500,13428032,FALSE,very very large,White,White,very very large-White
8c6cbeb2eff6,2015,Nissan,Armada,Armada,SV,13063624,FALSE,very very large,Black,Black,very very large-Non-white
8f8f8a008dc6,2014,Nissan,Armada,Armada,SL,13043720,FALSE,very very large,Black,Black,very very large-Non-white
91a862725f4e,2012,Nissan,Titan,Titan,SL,13135430,FALSE,very very large,Gray,Gray,very very large-Non-white
938f4dad559a,2014,Ford,F-150,F-150,XLT,13589037,FALSE,very very large,Yellow,Others,very very large-Non-white
93dbf4aaef4c,2015,Ford,Expedition EL,Expedition EL,XLT W/ Towing PKg,12965946,FALSE,very very large,Black,Black,very very large-Non-white
96b11e4bb0e7,2015,Ford,F-150,F-150,XLT,13313549,FALSE,very very large,White,White,very very large-White
97ca0bd604eb,2016,Chevrolet,Silverado 1500,Silverado 1500,LT,12927308,FALSE,very very large,White,White,very very large-White
9a2bfb24ba6e,2013,Chevrolet,Black Diamond Avalanche,Black Diamond Avalanche,LTZ,13220091,TRUE,very very large,Black,Black,very very large-Non-white
a0cc30db35fa,2014,Ram,Pickup 1500,Pickup 1500,Laramie,13316616,FALSE,very very large,White,White,very very large-White
a2449fd29691,2014,Ram,Ram Pickup 1500,Ram Pickup 1500,Big Horn,13117665,FALSE,very very large,Blue,Blue,very very large-Non-white
a5564fbde79d,2010,Ford,F-150,F-150,Lariat,13048113,FALSE,very very large,White,White,very very large-White
a85a4b5e6032,2013,Chevrolet,Suburban,Suburban,LT 1500,13772173,FALSE,very very large,White,White,very very large-White
ab29b95148d5,2014,Ram,Pickup 1500,Pickup 1500,SLT,13484573,FALSE,very very large,Gray,Gray,very very large-Non-white
abdd21b756c1,2016,Ford,F-150,F-150,XL w/Sport Pkg,13400421,FALSE,very very large,Gray,Gray,very very large-Non-white
ac7d415ad117,2013,Chevrolet,Suburban,Suburban,LT 1500,13399158,FALSE,very very large,White,White,very very large-White
b93b79c00cb4,2013,Ford,F-150,F-150,FX4 W/ Towing Pkg,13140567,FALSE,very very large,Black,Black,very very large-Non-white
b9ede117e571,2014,Ford,F-150,F-150,XLT,13230774,FALSE,very very large,Red,Red,very very large-Non-white
bd7f87fd594c,2014,Ram,Ram Pickup 1500,Ram Pickup 1500,Lone Star,12954742,FALSE,very very large,Red,Red,very very large-Non-white
c37b6824f5a5,2016,Chevrolet,Silverado 1500,Silverado 1500,LT,13206082,FALSE,very very large,Black,Black,very very large-Non-white
c502287be9f6,2014,Ford,F-150,F-150,XLT,13394277,TRUE,very very large,Black,Black,very very large-Non-white
c5041e66b71a,2013,Ford,F-150,F-150,FX2,12924162,FALSE,very very large,Black,Black,very very large-Non-white
c6fde640a12b,2016,Ford,F-150,F-150,XLT,13382497,FALSE,very very large,Red,Red,very very large-Non-white
c76a91b373ca,2015,Nissan,Armada,Armada,Platinum,12968425,FALSE,very very large,White,White,very very large-White
cbd4ff5b80a7,2015,Chevrolet,Suburban,Suburban,LT 1500,14098189,FALSE,very very large,Black,Black,very very large-Non-white
d8791fc5b7fd,2014,Ram,Ram Pickup 1500,Ram Pickup 1500,Laramie,13127091,FALSE,very very large,White,White,very very large-White
eaccd2c31606,2013,Ford,F-350 Super Duty,F-350 Super Duty,Lariat,14361358,FALSE,very very large,Gray,Gray,very very large-Non-white
f1eb080c7182,2010,Dodge,Ram Pickup 1500,Ram Pickup 1500,SLT,13192494,TRUE,very very large,Black,Black,very very large-Non-white
00ad56bf7ee6,2013,Acura,ILX,ILX,2.0L w/Tech Pkg,6779302,FALSE,very small,Gray,Gray,very small-Non-white
00ea6d495e8f,2013,FIAT,500e,500e,Base,6576295,FALSE,very small,Gray,Gray,very small-Non-white
00f145d0d769,2012,Mazda,MAZDA6,MAZDA6,i Sport,6684986,FALSE,very small,Black,Black,very small-Non-white
019bbd45b0ac,2013,Volkswagen,Jetta,Jetta,SE PZEV,6856219,FALSE,very small,Black,Black,very small-Non-white
01e1607c8bc1,2015,Hyundai,Accent,Accent,GLS,6824618,FALSE,very small,White,White,very small-White
01e3ec4fcef2,2014,Ford,Focus,Focus,SE,6863739,FALSE,very small,White,White,very small-White
01e78e4bb8be,2013,Kia,Soul,Soul,Base,6699047,FALSE,very small,White,White,very small-White
0200a09f1566,2014,FIAT,500e,500e,Base,6587807,FALSE,very small,White,White,very small-White
0209e280ff6b,2014,Volkswagen,Passat,Passat,Wolfsburg Edition PZEV,6710682,FALSE,very small,Black,Black,very small-Non-white
02ab96daffd0,2013,FIAT,500,500,Pop,5900064,FALSE,very small,Gray,Gray,very small-Non-white
02b32471ed11,2014,Honda,Civic,Civic,Hybrid,7093375,FALSE,very small,Black,Black,very small-Non-white
02bb4cc3f443,2013,Toyota,Corolla,Corolla,LE,6848609,FALSE,very small,Black,Black,very small-Non-white
02caf48a06fd,2013,Ford,Fusion,Fusion,SE,6641349,FALSE,very small,Gray,Gray,very small-Non-white
0311223b9244,2013,Acura,ILX,ILX,2.0L,6889818,FALSE,very small,Black,Black,very small-Non-white
0356db4567a0,2015,Toyota,Yaris,Yaris,5-Door L,7110500,FALSE,very small,White,White,very small-White
0365a84b16e0,2013,Toyota,Prius Plug-in Hybrid,Prius Plug-in Hybrid,Base,7123286,FALSE,very small,White,White,very small-White
03836d595666,2015,Chevrolet,Corvette,Corvette,Stingray,6288110,FALSE,very small,Black,Black,very small-Non-white
03980637dc0f,2014,Buick,Verano,Verano,Base,7093382,FALSE,very small,Red,Red,very small-Non-white
039aae672564,2014,Honda,Civic,Civic,EX,6686291,FALSE,very small,Gray,Gray,very small-Non-white
03a80eb7d8b3,2013,BMW,5 Series,5 Series,535i xDrive,6907264,FALSE,very small,Black,Black,very small-Non-white
04380a9b93dc,2013,Acura,ILX,ILX,2.4L w/Premium,6954769,FALSE,very small,Black,Black,very small-Non-white
046ebf665b81,2012,Mercedes-Benz,C-Class,C-Class,C300 Luxury 4MATIC,6764640,FALSE,very small,White,White,very small-White
047de80441e5,2014,Chevrolet,Cruze,Cruze,LS Auto,6948387,FALSE,very small,White,White,very small-White
047df42a3f14,2014,Nissan,Versa Note,Versa Note,SV,6973063,FALSE,very small,Gray,Gray,very small-Non-white
0495dcf27283,2015,Jaguar,F-TYPE,F-TYPE,Base,6496209,TRUE,very small,White,White,very small-White
04de56a06fc3,2013,Chevrolet,Cruze,Cruze,LS Auto,7042192,FALSE,very small,White,White,very small-White
04e6038105f3,2014,Nissan,Versa,Versa,1.6 S,6819271,FALSE,very small,Black,Black,very small-Non-white
056376bb4767,2014,Subaru,Impreza,Impreza,2.0i Sport Premium,6498569,FALSE,very small,Black,Black,very small-Non-white
05753314241b,2014,Honda,Accord,Accord,LX,6735532,FALSE,very small,Red,Red,very small-Non-white
0596c7ebfda2,2015,Kia,Rio,Rio,LX,6790416,FALSE,very small,Red,Red,very small-Non-white
05e986ef23df,2015,Toyota,Prius,Prius,Two,6974585,FALSE,very small,White,White,very small-White
060e5b9220aa,2014,Mercedes-Benz,SLK,SLK,SLK 350 w/ Premium Pkg,6506482,FALSE,very small,White,White,very small-White
0653d239bd8f,2015,Nissan,Versa Note,Versa Note,SV,6847078,FALSE,very small,Blue,Blue,very small-Non-white
066aa3c1ae8b,2014,Kia,Soul,,,6554360,FALSE,very small,Gray,Gray,very small-Non-white
06803cf93d06,2016,MINI,Hardtop,Hardtop,Cooper,6974012,FALSE,very small,Gray,Gray,very small-Non-white
06c9ba5afc31,2014,Toyota,Prius,Prius,Two,6736333,FALSE,very small,White,White,very small-White
06cb625e32b9,2012,Honda,Civic,Civic,LX,6664189,FALSE,very small,White,White,very small-White
06f9fc4906bd,2014,Honda,Civic,Civic,EX,6707598,FALSE,very small,Black,Black,very small-Non-white
071ef54223ff,2014,Cadillac,ATS,ATS,2.0T,6824970,FALSE,very small,Blue,Blue,very small-Non-white
0789bed99cb8,2014,Mazda,Mazda3,Mazda3,s Grand Touring,6913527,TRUE,very small,Black,Black,very small-Non-white
07c0c18e6680,2013,Kia,Soul,Soul,Base,7053569,FALSE,very small,Black,Black,very small-Non-white
08280cb38ea0,2014,Chevrolet,Cruze,Cruze,LS Auto,6806604,FALSE,very small,White,White,very small-White
0864419d052a,2013,Honda,Civic,Civic,LX,6946835,FALSE,very small,Gray,Gray,very small-Non-white
08763cb31b96,2014,Chevrolet,Cruze,Cruze,ECO Auto,6971678,FALSE,very small,Black,Black,very small-Non-white
0884eb864694,2011,Hyundai,Genesis,Genesis,4.6L V8,7029272,FALSE,very small,Black,Black,very small-Non-white
088b223b4f6a,2014,Volkswagen,Jetta,Jetta,S,6877404,FALSE,very small,Red,Red,very small-Non-white
08a646be6b30,2009,MINI,Cooper,Cooper,Base,5799974,TRUE,very small,Gray,Gray,very small-Non-white
08d23e22218b,2015,Volkswagen,Jetta,Jetta,SE PZEV,6905580,FALSE,very small,Black,Black,very small-Non-white
08d6f444152c,2014,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC W/ Premium Pkg 1,6799960,FALSE,very small,White,White,very small-White
08ff127bfd73,2016,Ford,Fiesta,Fiesta,SE,6968711,FALSE,very small,White,White,very small-White
092d3e96b6f5,2014,BMW,3 Series,3 Series,320i xDrive,7079833,FALSE,very small,Gray,Gray,very small-Non-white
0934fb1e82ac,2015,Toyota,Corolla,Corolla,LE,7085332,FALSE,very small,Gray,Gray,very small-Non-white
0956c73a60a3,2013,MINI,Hardtop,Hardtop,Cooper,5900672,FALSE,very small,Black,Black,very small-Non-white
09ac3951fe5b,2015,Honda,Fit,Fit,LX,6552779,FALSE,very small,White,White,very small-White
09aed20baef7,2015,Toyota,Prius,Prius,Two,7112558,FALSE,very small,Red,Red,very small-Non-white
09c07f1615b4,2014,Lexus,CT 200h,CT 200h,Base,6949305,FALSE,very small,White,White,very small-White
0a2637c772c5,2013,Honda,Civic,Civic,LX,6707541,FALSE,very small,Black,Black,very small-Non-white
0a39129c9f62,2015,Ford,Fiesta,Fiesta,Titanium,6369709,FALSE,very small,Black,Black,very small-Non-white
0a63454298b8,2014,Toyota,Prius c,Prius c,Two,6456931,FALSE,very small,Red,Red,very small-Non-white
0b033553a58a,2013,Buick,Verano,Verano,Base,6945367,FALSE,very small,Black,Black,very small-Non-white
0bd04c75ec17,2012,FIAT,500c,500c,Pop,5765455,FALSE,very small,White,White,very small-White
0bdd2e625f8a,2015,Chevrolet,Sonic,Sonic,LT Auto,6681728,FALSE,very small,Black,Black,very small-Non-white
0bdfb9967be2,2015,Honda,Fit,Fit,EX,6511890,FALSE,very small,White,White,very small-White
0c1bc2f3012d,2013,Honda,Civic,Civic,EX,6697560,FALSE,very small,Black,Black,very small-Non-white
0c3481991be4,2015,Honda,Fit,Fit,EX,6868128,FALSE,very small,Black,Black,very small-Non-white
0c74f69414ef,2014,Jeep,Patriot,Patriot,Sport,7005965,FALSE,very small,Black,Black,very small-Non-white
0c992d7d6742,2013,Lexus,CT 200h,CT 200h,Base,6518189,FALSE,very small,Black,Black,very small-Non-white
0cd58c993763,2015,Chevrolet,Spark,Spark,1LT CVT,6625599,FALSE,very small,White,White,very small-White
0cdf5b5d0ce1,2014,Audi,A4,A4,2.0T quattro Premium Plus,7083358,TRUE,very small,Blue,Blue,very small-Non-white
0d1a9caf4350,2016,MINI,Countryman,Countryman,Cooper S,6946764,TRUE,very small,Black,Black,very small-Non-white
0d4668ed98d1,2013,Cadillac,ATS,ATS,2.0T Luxury,6829463,FALSE,very small,White,White,very small-White
0dc831fb95b1,2012,BMW,1 Series,1 Series,135i,5796146,FALSE,very small,Red,Red,very small-Non-white
0dd7f86798d6,2015,Volkswagen,Jetta,Jetta,SE PZEV,6717678,FALSE,very small,White,White,very small-White
0ddb74eaf9c9,2014,Hyundai,Accent,Accent,GS,6572538,FALSE,very small,Gray,Gray,very small-Non-white
0e1a091d1b8a,2013,BMW,Z4,Z4,sDrive35i,5967431,FALSE,very small,Blue,Blue,very small-Non-white
0e80f05bc010,2013,Honda,Accord,Accord,EX-L V6,6737011,FALSE,very small,Red,Red,very small-Non-white
0eabbbd98f87,2015,Chevrolet,Spark,Spark,LS CVT,6640748,FALSE,very small,White,White,very small-White
0ecbf336659e,2014,Nissan,Versa Note,Versa Note,SV,6090283,FALSE,very small,White,White,very small-White
0eda87c55001,2014,Toyota,Corolla,Corolla,LE,6335862,FALSE,very small,Black,Black,very small-Non-white
0ef2756331a5,2014,Hyundai,Accent,Accent,GS,6584321,FALSE,very small,Yellow,Others,very small-Non-white
0f25cbfdcb93,2013,Mazda,Mazda3,Mazda3,i Sport,6958662,FALSE,very small,Gray,Gray,very small-Non-white
0fdc5c554bfa,2016,Honda,HR-V,HR-V,LX,7092827,FALSE,very small,Black,Black,very small-Non-white
10b4f3dd65b4,2014,Honda,Civic,Civic,EX,6709954,FALSE,very small,White,White,very small-White
10d2b8d7bcb1,2014,Honda,Civic,Civic,LX,6702794,FALSE,very small,Black,Black,very small-Non-white
10df5c0980c4,2014,Nissan,Versa Note,Versa Note,S Plus,6448170,FALSE,very small,White,White,very small-White
117eb521a93b,2013,FIAT,500,500,Pop,5844695,FALSE,very small,Black,Black,very small-Non-white
119c46190a23,2015,Chevrolet,Cruze,Cruze,1LT Manual,6980222,FALSE,very small,Black,Black,very small-Non-white
11c827383ffe,2014,Honda,Civic,Civic,LX,6947629,FALSE,very small,Black,Black,very small-Non-white
11e04231d7ce,2011,Jaguar,XF,XF,Premium,6778511,FALSE,very small,Yellow,Others,very small-Non-white
11f256b60f80,2013,Toyota,Prius c,Prius c,One,6411759,FALSE,very small,White,White,very small-White
11f3dc041cfb,2008,INFINITI,G35,G35,Base,6541654,TRUE,very small,Black,Black,very small-Non-white
120c1dc7b116,2014,Mercedes-Benz,CLA-Class,CLA-Class,CLA250,6234173,TRUE,very small,Red,Red,very small-Non-white
